Time,Duration,Fixture,Combined,Hot,Cold
1/1 6:06:42 AM,18,Kitchen Sink,1.323,1.058,0.265
1/1 6:27:54 AM,48,Sink 2,1.176,0.941,0.235
1/1 6:29:48 AM,156,Kitchen Sink,0.854,0.683,0.171
1/1 8:21:18 AM,48,Kitchen Sink,0.635,0.508,0.127
1/1 8:32:48 AM,60,CW,2.845,2.845,0.000
1/1 8:37:42 AM,66,CW,2.784,2.784,0.000
1/1 8:42:42 AM,72,CW,1.209,1.209,0.000
1/1 8:47:42 AM,72,CW,1.836,1.836,0.000
1/1 8:58:48 AM,6,Sink 4,0.081,0.065,0.016
1/1 9:07:42 AM,18,Kitchen Sink,1.35,1.080,0.270
1/1 9:09:36 AM,6,Kitchen Sink,0.568,0.454,0.114
1/1 9:11:36 AM,12,Kitchen Sink,2.542,2.033,0.509
1/1 9:13:30 AM,42,Kitchen Sink,0.691,0.553,0.138
1/1 9:14:18 AM,72,Sink 2,0.721,0.577,0.144
1/1 9:15:24 AM,60,Sink 4,1.472,1.177,0.295
1/1 9:17:24 AM,6,Kitchen Sink,0.69,0.552,0.138
1/1 9:47:00 AM,6,CW,3.978,3.978,0.000
1/1 9:52:00 AM,12,CW,2.63,2.630,0.000
1/1 9:57:00 AM,72,CW,2.947,2.947,0.000
1/1 10:01:54 AM,72,CW,1.993,1.993,0.000
1/1 10:39:12 AM,42,Sink 3,1.086,0.869,0.217
1/1 10:41:54 AM,6,Kitchen Sink,0.63,0.504,0.126
1/1 12:57:06 PM,126,Sink 4,0.778,0.622,0.156
1/1 1:12:12 PM,102,CW,2.334,2.334,0.000
1/1 3:18:36 PM,36,Sink 3,0.856,0.685,0.171
1/1 3:51:54 PM,6,Kitchen Sink,0.864,0.691,0.173
1/1 3:53:54 PM,78,Kitchen Sink,1.386,1.109,0.277
1/1 4:20:06 PM,30,Sink 3,1.002,0.801,0.201
1/1 4:22:00 PM,18,Sink 4,1.398,1.118,0.280
1/1 4:24:00 PM,48,Kitchen Sink,0.672,0.538,0.134
1/1 4:25:54 PM,6,Kitchen Sink,0.517,0.414,0.103
1/1 4:27:48 PM,6,Kitchen Sink,0.536,0.429,0.107
1/1 4:30:00 PM,66,Kitchen Sink,0.701,0.561,0.140
1/1 4:31:54 PM,162,Kitchen Sink,0.939,0.751,0.188
1/1 4:33:54 PM,30,Kitchen Sink,1.534,1.227,0.307
1/1 4:35:48 PM,6,Kitchen Sink,0.108,0.086,0.022
1/1 4:37:42 PM,12,Sink 2,1.566,1.253,0.313
1/1 5:39:18 PM,108,DW1,1.258,1.258,0.000
1/1 5:49:06 PM,90,DW1,1.14,1.140,0.000
1/1 5:58:54 PM,72,DW1,1.352,1.352,0.000
1/1 6:08:42 PM,96,DW1,1.411,1.411,0.000
1/1 6:47:24 PM,36,Sink 3,1.526,1.221,0.305
1/1 6:49:18 PM,6,Kitchen Sink,1.972,1.577,0.395
1/1 6:51:12 PM,72,Kitchen Sink,0.667,0.534,0.133
1/1 7:12:12 PM,30,Sink 2,1.181,0.945,0.236
1/1 8:05:30 PM,96,Kitchen Sink,0.836,0.669,0.167
1/1 8:19:42 PM,6,Kitchen Sink,0.269,0.215,0.054
1/1 9:28:48 PM,12,Kitchen Sink,1.762,1.409,0.353
1/1 10:02:54 PM,6,Kitchen Sink,0.972,0.777,0.195
1/1 10:26:18 PM,18,Sink 3,0.619,0.495,0.124
1/1 10:32:06 PM,36,Kitchen Sink,1.861,1.489,0.372
1/1 11:17:24 PM,66,Kitchen Sink,0.432,0.346,0.086
1/1 11:19:18 PM,6,Kitchen Sink,1.087,0.869,0.218
1/1 11:21:18 PM,6,Kitchen Sink,0.185,0.148,0.037
1/2 1:27:24 AM,18,Sink 3,0.901,0.721,0.180
1/2 4:13:24 AM,6,Kitchen Sink,1.835,1.468,0.367
1/2 5:44:48 AM,30,CW,2.411,2.411,0.000
1/2 6:16:42 AM,12,Sink 3,1.472,1.178,0.294
1/2 6:48:48 AM,96,Sink 4,1.773,1.419,0.354
1/2 7:24:48 AM,264,Shower 2,2.689,2.152,0.537
1/2 7:47:00 AM,18,Kitchen Sink,1.811,1.449,0.362
1/2 7:49:00 AM,48,Sink 2,0.813,0.651,0.162
1/2 7:50:54 AM,42,Sink 3,0.542,0.434,0.108
1/2 9:02:06 AM,234,Kitchen Sink,0.878,0.703,0.175
1/2 9:04:00 AM,36,Kitchen Sink,1.049,0.839,0.210
1/2 9:05:54 AM,6,Sink 2,1.738,1.391,0.347
1/2 9:07:54 AM,24,Kitchen Sink,0.985,0.788,0.197
1/2 9:08:48 AM,42,DW1,1.199,1.199,0.000
1/2 9:09:48 AM,6,Kitchen Sink,0.465,0.372,0.093
1/2 9:11:42 AM,6,Sink 4,0.523,0.418,0.105
1/2 9:13:36 AM,48,Kitchen Sink,1.39,1.112,0.278
1/2 9:15:36 AM,12,Kitchen Sink,1.476,1.181,0.295
1/2 9:17:30 AM,108,Kitchen Sink,1.896,1.517,0.379
1/2 9:18:36 AM,102,DW1,1.193,1.193,0.000
1/2 9:28:24 AM,78,DW1,1.409,1.409,0.000
1/2 9:38:12 AM,66,DW1,1.329,1.329,0.000
1/2 9:42:48 AM,18,Kitchen Sink,1.065,0.852,0.213
1/2 10:02:00 AM,66,Kitchen Sink,1.216,0.973,0.243
1/2 11:05:06 AM,6,Sink 2,0.044,0.035,0.009
1/2 11:07:06 AM,24,Sink 2,1.685,1.348,0.337
1/2 11:09:00 AM,24,Kitchen Sink,2.386,1.909,0.477
1/2 11:10:54 AM,6,Kitchen Sink,0.007,0.006,0.001
1/2 11:17:36 AM,30,Kitchen Sink,1.316,1.053,0.263
1/2 2:02:12 PM,6,Kitchen Sink,0.377,0.302,0.075
1/2 2:04:06 PM,6,Kitchen Sink,0.527,0.422,0.105
1/2 2:44:30 PM,24,Sink 4,1.361,1.089,0.272
1/2 3:00:54 PM,6,Kitchen Sink,0.446,0.357,0.089
1/2 3:29:36 PM,84,CW,2.163,2.163,0.000
1/2 3:34:36 PM,72,CW,3.191,3.191,0.000
1/2 4:43:54 PM,84,CW,2.421,2.421,0.000
1/2 4:48:54 PM,84,CW,2.588,2.588,0.000
1/2 5:20:12 PM,6,Sink 2,0.895,0.716,0.179
1/2 5:49:24 PM,12,Kitchen Sink,1.257,1.006,0.251
1/2 5:51:24 PM,72,Sink 2,1.818,1.455,0.363
1/2 5:56:12 PM,66,Kitchen Sink,2.2,1.760,0.440
1/2 5:58:12 PM,54,CW,1.203,1.203,0.000
1/2 5:58:12 PM,6,Sink 2,1.359,1.087,0.272
1/2 6:00:06 PM,72,Sink 3,1.584,1.267,0.317
1/2 6:03:06 PM,12,CW,2.858,2.858,0.000
1/2 7:18:06 PM,30,Kitchen Sink,1.123,0.899,0.224
1/2 7:35:06 PM,54,Kitchen Sink,1.624,1.299,0.325
1/2 7:38:42 PM,504,Bath 2,4.593,3.675,0.918
1/2 8:26:12 PM,18,Kitchen Sink,0.306,0.245,0.061
1/2 8:33:00 PM,66,Kitchen Sink,0.637,0.510,0.127
1/2 8:34:54 PM,72,Kitchen Sink,1.827,1.462,0.365
1/2 8:36:54 PM,18,Kitchen Sink,1.422,1.138,0.284
1/2 8:38:48 PM,48,Kitchen Sink,1.024,0.819,0.205
1/2 9:03:48 PM,24,Sink 3,0.894,0.715,0.179
1/2 9:05:42 PM,48,Sink 4,1.349,1.079,0.270
1/2 10:21:18 PM,54,Kitchen Sink,1.563,1.251,0.312
1/2 10:23:12 PM,6,Kitchen Sink,0.379,0.303,0.076
1/2 10:25:06 PM,66,Kitchen Sink,0.402,0.322,0.080
1/2 10:27:06 PM,24,Kitchen Sink,0.171,0.137,0.034
1/2 10:29:00 PM,24,Kitchen Sink,1.283,1.027,0.256
1/2 10:30:54 PM,72,Kitchen Sink,0.124,0.099,0.025
1/2 10:32:54 PM,132,Kitchen Sink,0.193,0.154,0.039
1/3 6:11:24 AM,60,Kitchen Sink,0.494,0.395,0.099
1/3 7:57:54 AM,6,Kitchen Sink,1.229,0.984,0.245
1/3 9:17:54 AM,96,Kitchen Sink,2.296,1.838,0.458
1/3 11:44:00 AM,54,Sink 3,0.863,0.691,0.172
1/3 11:49:54 AM,84,CW,1.981,1.981,0.000
1/3 11:57:18 AM,24,Sink 3,1.827,1.462,0.365
1/3 11:59:18 AM,30,Kitchen Sink,0.051,0.041,0.010
1/3 12:01:12 PM,36,Kitchen Sink,0.54,0.432,0.108
1/3 12:09:06 PM,54,Kitchen Sink,0.926,0.741,0.185
1/3 12:50:06 PM,138,Kitchen Sink,2.152,1.723,0.429
1/3 1:08:06 PM,42,Kitchen Sink,0.778,0.623,0.155
1/3 1:10:06 PM,96,Kitchen Sink,2.11,1.689,0.421
1/3 1:30:24 PM,144,Sink 4,1.464,1.172,0.292
1/3 1:40:48 PM,24,Sink 3,0.055,0.044,0.011
1/3 3:16:54 PM,48,Sink 4,1.125,0.901,0.224
1/3 3:18:54 PM,6,Kitchen Sink,0.14,0.112,0.028
1/3 3:20:48 PM,36,Kitchen Sink,1.194,0.956,0.238
1/3 4:00:00 PM,6,Kitchen Sink,0.042,0.034,0.008
1/3 4:01:54 PM,30,Kitchen Sink,0.707,0.566,0.141
1/3 4:13:12 PM,36,Kitchen Sink,1.182,0.946,0.236
1/3 4:15:06 PM,42,Sink 3,0.213,0.170,0.043
1/3 5:39:48 PM,792,Shower 1,1.853,1.483,0.370
1/3 5:57:06 PM,18,Sink 4,0.575,0.460,0.115
1/3 6:01:30 PM,12,Kitchen Sink,0.847,0.678,0.169
1/3 6:01:42 PM,18,Kitchen Sink,1.323,1.059,0.264
1/3 6:10:18 PM,282,Shower 1,1.888,1.511,0.377
1/3 6:51:00 PM,24,Sink 4,0.349,0.279,0.070
1/3 7:07:42 PM,78,Kitchen Sink,1.233,0.987,0.246
1/3 7:09:36 PM,48,Kitchen Sink,0.653,0.523,0.130
1/3 7:10:24 PM,6,Kitchen Sink,0.761,0.609,0.152
1/3 9:27:18 PM,6,Kitchen Sink,0.072,0.058,0.014
1/3 9:30:00 PM,54,Kitchen Sink,1.384,1.108,0.276
1/3 9:48:30 PM,18,Kitchen Sink,0.753,0.603,0.150
1/3 9:50:00 PM,972,Shower 2,1.155,0.925,0.230
1/3 9:57:42 PM,24,Kitchen Sink,1.67,1.337,0.333
1/3 9:59:36 PM,36,Sink 2,2.128,1.703,0.425
1/3 11:13:48 PM,30,Kitchen Sink,1.54,1.233,0.307
1/3 11:15:42 PM,24,Kitchen Sink,0.792,0.634,0.158
1/4 8:10:30 AM,18,Sink 4,1.644,1.316,0.328
1/4 9:19:24 AM,84,CW,2.697,2.697,0.000
1/4 9:24:24 AM,66,CW,1.979,1.979,0.000
1/4 9:29:24 AM,60,CW,2.329,2.329,0.000
1/4 9:34:18 AM,72,CW,1.62,1.620,0.000
1/4 9:39:18 AM,66,CW,0.096,0.096,0.000
1/4 10:50:36 AM,162,Kitchen Sink,1.653,1.324,0.329
1/4 10:50:54 AM,6,Kitchen Sink,0.748,0.599,0.149
1/4 10:52:30 AM,54,Sink 4,2.107,1.687,0.420
1/4 11:12:12 AM,84,Sink 3,0.282,0.226,0.056
1/4 11:57:48 AM,18,Kitchen Sink,1.173,0.939,0.234
1/4 1:00:36 PM,54,Kitchen Sink,1.255,1.005,0.250
1/4 1:02:30 PM,6,Kitchen Sink,0.385,0.308,0.077
1/4 1:04:30 PM,42,Kitchen Sink,0.429,0.344,0.085
1/4 1:06:24 PM,42,Sink 3,0.636,0.509,0.127
1/4 1:08:12 PM,6,Sink 3,1.089,0.872,0.217
1/4 1:08:18 PM,48,Sink 4,1.658,1.328,0.330
1/4 2:24:54 PM,204,Sink 3,1.83,1.465,0.365
1/4 2:30:30 PM,18,Kitchen Sink,1.462,1.171,0.291
1/4 2:32:24 PM,30,Kitchen Sink,2.081,1.666,0.415
1/4 4:32:12 PM,84,Sink 3,2.24,1.794,0.446
1/4 4:34:06 PM,6,Sink 4,0.905,0.725,0.180
1/4 4:47:54 PM,12,Kitchen Sink,0.77,0.617,0.153
1/4 4:49:48 PM,24,Kitchen Sink,1.236,0.990,0.246
1/4 4:51:42 PM,66,Kitchen Sink,1.412,1.131,0.281
1/4 5:02:12 PM,24,Sink 4,1.335,1.069,0.266
1/4 5:04:12 PM,90,Sink 3,1.677,1.343,0.334
1/4 5:06:06 PM,18,Sink 3,0.848,0.679,0.169
1/4 5:08:00 PM,66,Kitchen Sink,1.49,1.193,0.297
1/4 5:10:00 PM,60,Kitchen Sink,1.428,1.143,0.285
1/4 5:15:12 PM,144,Kitchen Sink,0.553,0.443,0.110
1/4 5:17:06 PM,30,Sink 4,1.509,1.208,0.301
1/4 5:47:36 PM,36,Kitchen Sink,0.667,0.534,0.133
1/4 6:14:06 PM,72,Sink 2,0.53,0.424,0.106
1/4 6:16:00 PM,96,Kitchen Sink,1.802,1.443,0.359
1/4 6:17:54 PM,6,Kitchen Sink,0.06,0.048,0.012
1/4 6:19:54 PM,72,Kitchen Sink,1.531,1.226,0.305
1/4 6:56:48 PM,78,Kitchen Sink,1.963,1.572,0.391
1/4 6:58:42 PM,6,Sink 2,1.178,0.943,0.235
1/4 7:00:36 PM,102,DW1,1.491,1.491,0.000
1/4 7:00:42 PM,24,Kitchen Sink,1.506,1.206,0.300
1/4 7:02:36 PM,12,Kitchen Sink,1.914,1.533,0.381
1/4 7:09:42 PM,6,Kitchen Sink,0.965,0.773,0.192
1/4 7:10:24 PM,72,DW1,1.081,1.081,0.000
1/4 7:20:12 PM,78,DW1,1.242,1.242,0.000
1/4 7:29:54 PM,66,DW1,1.823,1.823,0.000
1/4 7:36:00 PM,60,Kitchen Sink,1.13,0.905,0.225
1/4 7:38:00 PM,12,Kitchen Sink,0.276,0.221,0.055
1/4 7:39:42 PM,48,DW1,1.727,1.727,0.000
1/4 7:47:12 PM,66,Sink 3,0.54,0.432,0.108
1/4 7:48:30 PM,6,Sink 3,0.089,0.071,0.018
1/4 7:50:24 PM,6,Kitchen Sink,0.796,0.637,0.159
1/4 7:52:24 PM,102,Kitchen Sink,0.979,0.784,0.195
1/4 7:54:18 PM,216,Sink 3,0.956,0.765,0.191
1/4 7:56:12 PM,30,Kitchen Sink,1.44,1.153,0.287
1/4 7:58:12 PM,6,Kitchen Sink,0.8,0.641,0.159
1/4 8:59:48 PM,48,Sink 4,0.14,0.112,0.028
1/4 9:37:12 PM,24,Kitchen Sink,0.317,0.254,0.063
1/4 9:41:42 PM,90,Kitchen Sink,1.461,1.170,0.291
1/5 12:17:36 AM,6,Sink 2,0.988,0.791,0.197
1/5 8:10:30 AM,42,Sink 2,1.179,0.944,0.235
1/5 8:36:42 AM,528,Shower 1,2.417,1.936,0.481
1/5 8:53:24 AM,18,Kitchen Sink,1.759,1.409,0.350
1/5 8:55:24 AM,210,Kitchen Sink,0.753,0.603,0.150
1/5 8:57:24 AM,24,Kitchen Sink,1.5,1.202,0.298
1/5 9:07:18 AM,306,Shower 1,1.558,1.248,0.310
1/5 10:13:00 AM,60,CW,2.15,2.150,0.000
1/5 10:26:36 AM,6,Kitchen Sink,0.957,0.767,0.190
1/5 10:28:30 AM,78,Kitchen Sink,0.805,0.645,0.160
1/5 10:30:30 AM,24,Kitchen Sink,1.622,1.299,0.323
1/5 10:36:12 AM,90,Kitchen Sink,0.941,0.754,0.187
1/5 11:08:48 AM,18,Sink 4,0.65,0.521,0.129
1/5 11:10:42 AM,6,Kitchen Sink,0.453,0.363,0.090
1/5 11:48:42 AM,72,CW,2.708,2.708,0.000
1/5 12:04:48 PM,12,Kitchen Sink,0.925,0.741,0.184
1/5 12:06:48 PM,12,Kitchen Sink,1.988,1.592,0.396
1/5 12:23:48 PM,6,CW,1.432,1.432,0.000
1/5 12:28:42 PM,96,CW,1.677,1.677,0.000
1/5 12:33:42 PM,54,CW,3.632,3.632,0.000
1/5 12:38:42 PM,12,CW,1.18,1.180,0.000
1/5 1:03:00 PM,36,CW,2.22,2.220,0.000
1/5 1:30:18 PM,36,Kitchen Sink,1.005,0.805,0.200
1/5 1:35:12 PM,54,Sink 3,1,0.801,0.199
1/5 1:38:00 PM,54,CW,2.698,2.698,0.000
1/5 1:43:00 PM,54,CW,1.875,1.875,0.000
1/5 1:48:00 PM,144,CW,2.863,2.863,0.000
1/5 1:52:54 PM,102,CW,2.594,2.594,0.000
1/5 2:17:18 PM,54,CW,2.844,2.844,0.000
1/5 2:57:12 PM,42,Kitchen Sink,1.269,1.016,0.253
1/5 3:37:00 PM,6,Kitchen Sink,0.037,0.030,0.007
1/5 4:11:48 PM,48,Sink 4,1.684,1.349,0.335
1/5 4:24:00 PM,12,Kitchen Sink,1.356,1.086,0.270
1/5 4:25:54 PM,42,Kitchen Sink,1.575,1.262,0.313
1/5 5:11:06 PM,60,CW,2.415,2.415,0.000
1/5 5:14:30 PM,18,Kitchen Sink,1.415,1.133,0.282
1/5 5:16:00 PM,6,CW,1.684,1.684,0.000
1/5 5:16:24 PM,66,Sink 4,1.819,1.457,0.362
1/5 5:21:00 PM,72,CW,2.731,2.731,0.000
1/5 5:26:00 PM,18,CW,2.039,2.039,0.000
1/5 5:31:00 PM,6,CW,3.616,3.616,0.000
1/5 6:25:18 PM,48,CW,2.2,2.200,0.000
1/5 6:30:18 PM,12,CW,3.632,3.632,0.000
1/5 6:35:18 PM,12,CW,2.692,2.692,0.000
1/5 6:40:18 PM,66,CW,1.943,1.943,0.000
1/5 6:45:12 PM,72,CW,2.242,2.242,0.000
1/5 6:57:36 PM,408,Bath 1,5.582,4.471,1.111
1/5 7:40:36 PM,12,Kitchen Sink,2.078,1.664,0.414
1/5 8:18:54 PM,6,Kitchen Sink,0.12,0.096,0.024
1/5 8:20:48 PM,60,Sink 2,1.404,1.125,0.279
1/5 9:08:42 PM,660,Shower 1,2.002,1.604,0.398
1/5 9:49:48 PM,12,Kitchen Sink,1.153,0.924,0.229
1/5 10:20:36 PM,6,Kitchen Sink,0.017,0.014,0.003
1/5 11:40:54 PM,24,Sink 2,1.604,1.285,0.319
1/6 1:24:00 AM,24,Kitchen Sink,1.395,1.118,0.277
1/6 1:26:00 AM,6,Sink 3,1.354,1.085,0.269
1/6 5:50:06 AM,108,Kitchen Sink,1.719,1.377,0.342
1/6 7:35:12 AM,36,Sink 2,1.228,0.984,0.244
1/6 9:04:18 AM,60,Kitchen Sink,1.01,0.809,0.201
1/6 9:06:12 AM,84,Kitchen Sink,1.86,1.490,0.370
1/6 9:58:48 AM,12,Kitchen Sink,1.684,1.349,0.335
1/6 10:54:48 AM,30,Kitchen Sink,1.112,0.891,0.221
1/6 11:55:54 AM,66,DW1,1.433,1.433,0.000
1/6 12:05:36 PM,60,DW1,1.271,1.271,0.000
1/6 12:15:24 PM,108,DW1,1.434,1.434,0.000
1/6 12:25:12 PM,90,DW1,1.313,1.313,0.000
1/6 12:35:00 PM,60,DW1,1.132,1.132,0.000
1/6 12:44:48 PM,84,DW1,1.368,1.368,0.000
1/6 12:53:30 PM,60,Kitchen Sink,1.045,0.837,0.208
1/6 12:54:30 PM,78,DW1,1.057,1.057,0.000
1/6 12:55:24 PM,6,Sink 2,0.787,0.631,0.156
1/6 12:57:18 PM,6,Kitchen Sink,0.159,0.127,0.032
1/6 12:59:18 PM,6,Kitchen Sink,0.116,0.093,0.023
1/6 1:01:12 PM,120,Kitchen Sink,0.79,0.633,0.157
1/6 1:33:00 PM,42,Kitchen Sink,0.734,0.588,0.146
1/6 1:35:00 PM,36,Sink 2,1.536,1.231,0.305
1/6 1:36:54 PM,198,Kitchen Sink,1.205,0.966,0.239
1/6 2:08:30 PM,42,Kitchen Sink,1.63,1.306,0.324
1/6 3:13:54 PM,6,Kitchen Sink,0.033,0.026,0.007
1/6 4:43:36 PM,576,Shower 1,3.004,2.407,0.597
1/6 4:47:42 PM,6,Kitchen Sink,0.345,0.276,0.069
1/6 5:03:24 PM,36,Kitchen Sink,1.952,1.564,0.388
1/6 5:08:30 PM,6,Kitchen Sink,1.108,0.888,0.220
1/6 5:10:24 PM,24,Sink 2,2.081,1.667,0.414
1/6 5:12:24 PM,6,Kitchen Sink,0.395,0.317,0.078
1/6 5:14:18 PM,60,Sink 2,1.715,1.374,0.341
1/6 5:16:12 PM,6,Sink 3,0.332,0.266,0.066
1/6 5:18:12 PM,6,Sink 3,0.856,0.686,0.170
1/6 6:07:18 PM,66,Kitchen Sink,1.379,1.105,0.274
1/6 6:09:12 PM,30,Kitchen Sink,0.345,0.276,0.069
1/6 6:11:06 PM,6,Kitchen Sink,0.721,0.578,0.143
1/6 6:35:06 PM,24,Kitchen Sink,1.846,1.479,0.367
1/6 6:38:12 PM,6,Kitchen Sink,2.982,2.389,0.593
1/6 7:21:18 PM,6,Sink 3,2.689,2.155,0.534
1/6 7:23:12 PM,102,Sink 2,0.861,0.690,0.171
1/6 8:33:48 PM,54,Sink 2,1.732,1.388,0.344
1/6 8:42:54 PM,156,Kitchen Sink,1.964,1.574,0.390
1/6 8:44:42 PM,6,Kitchen Sink,0.327,0.262,0.065
1/6 8:44:48 PM,6,Kitchen Sink,0.077,0.062,0.015
1/6 8:44:48 PM,54,Kitchen Sink,0.049,0.039,0.010
1/6 8:46:42 PM,24,Kitchen Sink,0.938,0.752,0.186
1/6 9:16:42 PM,12,Sink 4,1.662,1.332,0.330
1/6 9:22:06 PM,348,Shower 1,2.46,1.971,0.489
1/6 10:47:12 PM,42,Kitchen Sink,1.064,0.853,0.211
1/6 11:03:06 PM,114,CW,1.718,1.718,0.000
1/6 11:49:30 PM,18,Kitchen Sink,1.49,1.194,0.296
1/7 12:24:12 AM,66,Kitchen Sink,1.48,1.186,0.294
1/7 12:26:06 AM,6,Sink 3,0.356,0.285,0.071
1/7 12:40:18 AM,12,Kitchen Sink,0.913,0.732,0.181
1/7 3:22:36 AM,6,Kitchen Sink,0.198,0.159,0.039
1/7 3:24:36 AM,60,Kitchen Sink,1.723,1.381,0.342
1/7 5:19:00 AM,42,Sink 3,1.839,1.474,0.365
1/7 7:03:24 AM,24,Kitchen Sink,1.392,1.116,0.276
1/7 7:26:24 AM,36,Kitchen Sink,1.014,0.813,0.201
1/7 7:30:48 AM,30,Kitchen Sink,0.897,0.719,0.178
1/7 8:12:24 AM,48,Sink 2,1.433,1.149,0.284
1/7 8:14:42 AM,108,DW1,1.522,1.522,0.000
1/7 8:18:48 AM,6,Kitchen Sink,0.517,0.414,0.103
1/7 8:24:30 AM,96,DW1,1.454,1.454,0.000
1/7 8:25:24 AM,138,Kitchen Sink,1.26,1.010,0.250
1/7 8:27:18 AM,42,Kitchen Sink,0.79,0.633,0.157
1/7 8:29:12 AM,12,Kitchen Sink,0.799,0.640,0.159
1/7 8:31:12 AM,48,Kitchen Sink,1.352,1.084,0.268
1/7 8:32:24 AM,54,Kitchen Sink,0.958,0.768,0.190
1/7 8:34:18 AM,108,DW1,1.227,1.227,0.000
1/7 8:44:06 AM,54,DW1,1.463,1.463,0.000
1/7 8:53:48 AM,102,DW1,0.966,0.966,0.000
1/7 9:03:36 AM,72,DW1,1.038,1.038,0.000
1/7 10:02:06 AM,48,CW,1.326,1.326,0.000
1/7 10:20:42 AM,342,Shower 2,2.452,1.965,0.487
1/7 10:47:48 AM,192,Sink 4,0.05,0.040,0.010
1/7 11:03:24 AM,36,Kitchen Sink,1.476,1.183,0.293
1/7 11:16:24 AM,66,CW,2.922,2.922,0.000
1/7 11:19:06 AM,18,Sink 3,0.696,0.558,0.138
1/7 12:02:12 PM,48,Sink 4,0.047,0.038,0.009
1/7 1:22:00 PM,36,Sink 4,1.366,1.095,0.271
1/7 2:30:48 PM,6,Kitchen Sink,0.712,0.571,0.141
1/7 2:32:42 PM,6,Kitchen Sink,0.048,0.038,0.010
1/7 2:37:06 PM,6,Kitchen Sink,3.182,2.550,0.632
1/7 2:39:06 PM,6,Kitchen Sink,0.149,0.119,0.030
1/7 2:48:24 PM,6,Kitchen Sink,0.945,0.757,0.188
1/7 3:32:06 PM,54,Kitchen Sink,1.71,1.371,0.339
1/7 4:29:30 PM,66,Kitchen Sink,1.286,1.031,0.255
1/7 4:31:30 PM,18,Kitchen Sink,0.858,0.688,0.170
