Time,Duration,Fixture,Combined,Hot,Cold
1/1 2:55:54 AM,18,Kitchen Sink,2.13,1.704,0.426
1/1 2:57:48 AM,3,Kitchen Sink,1.47,1.176,0.294
1/1 2:59:42 AM,30,Kitchen Sink,0.821,0.657,0.164
1/1 3:01:42 AM,42,Sink 2,1.08,0.864,0.216
1/1 3:03:36 AM,6,Sink 4,0.889,0.711,0.178
1/1 3:05:30 AM,18,Sink 4,0.205,0.164,0.041
1/1 3:07:30 AM,6,Kitchen Sink,0.071,0.057,0.014
1/1 6:08:06 AM,78,Kitchen Sink,1.549,1.239,0.310
1/1 6:23:00 AM,12,Kitchen Sink,1.366,1.093,0.273
1/1 6:25:00 AM,30,Kitchen Sink,1.368,1.094,0.274
1/1 6:26:54 AM,90,Kitchen Sink,0.907,0.725,0.182
1/1 6:28:48 AM,42,Kitchen Sink,1.1,0.880,0.220
1/1 7:00:42 AM,48,Sink 2,0.634,0.507,0.127
1/1 7:30:24 AM,6,Kitchen Sink,0.937,0.749,0.188
1/1 8:17:42 AM,72,CW,1.865,1.865,0.000
1/1 8:22:42 AM,84,CW,2.468,2.468,0.000
1/1 8:27:36 AM,72,CW,0.791,0.791,0.000
1/1 8:39:18 AM,768,Shower 1,2.207,1.765,0.442
1/1 8:44:42 AM,12,Kitchen Sink,1.216,0.973,0.243
1/1 8:45:00 AM,60,Kitchen Sink,1.482,1.185,0.297
1/1 8:47:00 AM,6,Sink 4,0.244,0.195,0.049
1/1 9:09:54 AM,810,Shower 1,2.688,2.150,0.538
1/1 9:19:06 AM,30,Kitchen Sink,2.048,1.638,0.410
1/1 9:32:00 AM,90,CW,1.938,1.938,0.000
1/1 9:36:54 AM,60,CW,3.447,3.447,0.000
1/1 9:41:54 AM,96,CW,1.869,1.869,0.000
1/1 10:02:36 AM,126,Sink 3,1.275,1.020,0.255
1/1 10:04:30 AM,12,Kitchen Sink,1.832,1.465,0.367
1/1 10:15:48 AM,42,Sink 2,0.987,0.789,0.198
1/1 10:38:54 AM,42,Sink 2,1.016,0.813,0.203
1/1 10:40:48 AM,6,Kitchen Sink,1,0.800,0.200
1/1 10:42:48 AM,48,Kitchen Sink,0.45,0.360,0.090
1/1 11:24:54 AM,6,Kitchen Sink,0.141,0.113,0.028
1/1 1:02:06 PM,18,Kitchen Sink,1.129,0.903,0.226
1/1 1:16:18 PM,48,CW,1.663,1.663,0.000
1/1 1:43:42 PM,60,Kitchen Sink,1.425,1.140,0.285
1/1 1:45:36 PM,192,Kitchen Sink,1.546,1.237,0.309
1/1 4:17:36 PM,12,Kitchen Sink,0.911,0.729,0.182
1/1 4:19:30 PM,42,Kitchen Sink,0.753,0.602,0.151
1/1 4:21:30 PM,78,Kitchen Sink,1.374,1.099,0.275
1/1 4:36:30 PM,30,Kitchen Sink,0.484,0.387,0.097
1/1 4:38:24 PM,24,Sink 3,1.771,1.417,0.354
1/1 5:30:42 PM,18,Kitchen Sink,0.778,0.622,0.156
1/1 6:05:54 PM,6,Kitchen Sink,0.022,0.018,0.004
1/1 6:07:12 PM,72,CW,2.912,2.912,0.000
1/1 6:44:54 PM,48,Sink 3,1.138,0.910,0.228
1/1 6:53:00 PM,6,Kitchen Sink,0.178,0.142,0.036
1/1 7:21:30 PM,24,CW,2.218,2.218,0.000
1/1 7:51:48 PM,78,Sink 4,0.05,0.040,0.010
1/1 7:53:48 PM,42,Kitchen Sink,0.648,0.518,0.130
1/1 7:55:42 PM,30,Sink 2,1.438,1.150,0.288
1/1 8:40:24 PM,24,Kitchen Sink,0.203,0.162,0.041
1/1 8:42:24 PM,6,Kitchen Sink,0,0.000,0.000
1/1 8:44:18 PM,84,Kitchen Sink,0.049,0.039,0.010
1/1 8:46:12 PM,132,Sink 2,0.05,0.040,0.010
1/1 8:58:36 PM,12,Kitchen Sink,1.305,1.044,0.261
1/1 11:29:48 PM,6,Sink 4,2.652,2.121,0.531
1/2 6:20:48 AM,108,Kitchen Sink,1.75,1.400,0.350
1/2 6:22:42 AM,6,Kitchen Sink,0.229,0.183,0.046
1/2 6:24:42 AM,18,Kitchen Sink,1.361,1.089,0.272
1/2 6:33:36 AM,42,Kitchen Sink,0.636,0.509,0.127
1/2 6:40:54 AM,30,Sink 3,0.163,0.130,0.033
1/2 7:10:18 AM,12,Sink 3,1.953,1.563,0.390
1/2 8:05:42 AM,6,Kitchen Sink,0.249,0.199,0.050
1/2 8:05:48 AM,54,Kitchen Sink,1.271,1.017,0.254
1/2 8:07:36 AM,120,Kitchen Sink,1.076,0.861,0.215
1/2 8:08:54 AM,210,Kitchen Sink,1.966,1.573,0.393
1/2 8:53:00 AM,6,Kitchen Sink,0.242,0.194,0.048
1/2 9:41:54 AM,30,Kitchen Sink,0.855,0.684,0.171
1/2 10:12:00 AM,12,Sink 2,1.068,0.855,0.213
1/2 10:13:54 AM,36,Sink 3,1.59,1.272,0.318
1/2 10:56:00 AM,42,Kitchen Sink,1.176,0.941,0.235
1/2 11:53:18 AM,72,Kitchen Sink,1.448,1.159,0.289
1/2 11:55:12 AM,6,Sink 4,0.269,0.215,0.054
1/2 11:57:06 AM,12,Kitchen Sink,1.522,1.218,0.304
1/2 12:03:36 PM,96,Sink 3,0.184,0.147,0.037
1/2 12:05:30 PM,12,Sink 2,1.835,1.468,0.367
1/2 12:07:30 PM,6,Kitchen Sink,0.913,0.731,0.182
1/2 12:32:36 PM,54,Kitchen Sink,1.823,1.459,0.364
1/2 12:49:48 PM,12,Kitchen Sink,1.439,1.151,0.288
1/2 1:26:30 PM,24,Kitchen Sink,1.772,1.418,0.354
1/2 1:28:30 PM,60,Kitchen Sink,0.476,0.381,0.095
1/2 2:40:30 PM,78,Sink 2,1.467,1.174,0.293
1/2 2:42:06 PM,72,Sink 4,2.153,1.723,0.430
