Time,Duration,Fixture,Combined,Hot,Cold
1/1 7:52:30 AM,78,Kitchen Sink,0.745,0.596,0.149
1/1 8:37:24 AM,18,Sink 3,0.402,0.322,0.080
1/1 8:49:36 AM,144,Shower 2,2.595,2.076,0.519
1/1 9:20:06 AM,798,Shower 1,2.593,2.074,0.519
1/1 9:40:24 AM,66,Kitchen Sink,1.028,0.822,0.206
1/1 9:41:48 AM,12,Sink 4,1.137,0.909,0.228
1/1 9:43:48 AM,108,Kitchen Sink,1.452,1.161,0.291
1/1 10:06:36 AM,24,Kitchen Sink,1.577,1.261,0.316
1/1 10:08:12 AM,84,CW,3.044,3.044,0.000
1/1 10:09:48 AM,12,Kitchen Sink,1.202,0.961,0.241
1/1 11:14:00 AM,24,Sink 4,0.472,0.378,0.094
1/1 11:15:54 AM,6,Kitchen Sink,0.048,0.038,0.010
1/1 12:33:18 PM,126,Kitchen Sink,1.692,1.353,0.339
1/1 1:34:06 PM,54,Kitchen Sink,0.716,0.573,0.143
1/1 2:56:48 PM,36,Kitchen Sink,1.754,1.403,0.351
1/1 2:57:36 PM,18,Kitchen Sink,1.049,0.839,0.210
1/1 2:59:06 PM,36,Kitchen Sink,2.278,1.822,0.456
1/1 3:01:00 PM,66,Sink 3,0.948,0.758,0.190
1/1 3:10:48 PM,12,Kitchen Sink,0.475,0.380,0.095
1/1 4:11:24 PM,6,Kitchen Sink,2.203,1.762,0.441
1/1 4:28:06 PM,6,Sink 4,0.489,0.391,0.098
1/1 4:55:54 PM,48,Sink 4,0.77,0.616,0.154
1/1 5:17:12 PM,24,Sink 4,0.83,0.664,0.166
1/1 5:35:36 PM,6,Kitchen Sink,0.137,0.110,0.027
1/1 5:59:48 PM,108,Kitchen Sink,0.495,0.396,0.099
1/1 10:45:06 PM,36,Kitchen Sink,2.192,1.753,0.439
1/2 12:30:30 AM,48,Kitchen Sink,0.05,0.040,0.010
1/2 12:32:30 AM,42,Sink 4,1.55,1.240,0.310
1/2 12:34:24 AM,78,Sink 2,1.14,0.912,0.228
1/2 12:36:18 AM,72,Kitchen Sink,0.357,0.286,0.071
1/2 3:22:48 AM,24,Sink 2,1.628,1.303,0.325
1/2 5:05:42 AM,12,Sink 3,0.704,0.563,0.141
1/2 5:48:42 AM,78,Sink 4,0.962,0.770,0.192
1/2 5:50:42 AM,90,Sink 2,1.355,1.084,0.271
1/2 5:52:36 AM,30,Sink 4,1.547,1.238,0.309
1/2 6:54:18 AM,6,Kitchen Sink,0.216,0.173,0.043
1/2 6:56:18 AM,30,Kitchen Sink,1.609,1.287,0.322
1/2 6:58:12 AM,18,Kitchen Sink,1.507,1.206,0.301
1/2 7:27:18 AM,174,Sink 2,0.62,0.496,0.124
1/2 8:05:12 AM,30,Sink 3,0.358,0.286,0.072
1/2 8:07:06 AM,12,Kitchen Sink,1.561,1.249,0.312
1/2 8:09:06 AM,48,Kitchen Sink,0.243,0.194,0.049
1/2 8:23:30 AM,60,Kitchen Sink,0.954,0.763,0.191
1/2 9:31:30 AM,6,Kitchen Sink,0.126,0.101,0.025
1/2 10:31:12 AM,54,Kitchen Sink,0.164,0.131,0.033
1/2 10:33:06 AM,12,Kitchen Sink,1.079,0.863,0.216
1/2 10:35:06 AM,18,Kitchen Sink,1.336,1.069,0.267
1/2 11:01:30 AM,6,Kitchen Sink,0.524,0.419,0.105
1/2 11:03:30 AM,60,Sink 3,1.869,1.495,0.374
1/2 11:05:24 AM,42,Sink 2,0.847,0.678,0.169
1/2 1:12:24 PM,24,Kitchen Sink,1.999,1.600,0.399
1/2 1:14:18 PM,24,Kitchen Sink,0.98,0.784,0.196
1/2 1:42:24 PM,6,Kitchen Sink,0.8,0.640,0.160
1/2 5:46:06 PM,114,Sink 4,1.74,1.392,0.348
1/2 5:55:24 PM,18,Kitchen Sink,0.745,0.596,0.149
1/2 5:57:24 PM,24,Kitchen Sink,1.469,1.175,0.294
1/2 6:48:00 PM,66,Kitchen Sink,1.14,0.912,0.228
1/2 6:56:42 PM,6,Sink 4,0.338,0.270,0.068
1/2 10:24:54 PM,102,Kitchen Sink,0.835,0.668,0.167
1/2 10:26:48 PM,24,Kitchen Sink,1.808,1.447,0.361
1/2 10:28:42 PM,30,Kitchen Sink,0.535,0.428,0.107
1/2 10:30:42 PM,18,Kitchen Sink,0.949,0.759,0.190
1/2 10:32:36 PM,162,Kitchen Sink,1.442,1.154,0.288
1/2 10:34:30 PM,24,Kitchen Sink,1.733,1.387,0.346
1/3 7:38:24 AM,30,Kitchen Sink,0.785,0.628,0.157
1/3 7:40:24 AM,24,Kitchen Sink,1.334,1.068,0.266
1/3 8:14:42 AM,90,Kitchen Sink,0.35,0.280,0.070
1/3 8:25:48 AM,204,Shower 1,3.526,2.822,0.704
1/3 9:06:48 AM,882,Shower 1,2.076,1.662,0.414
1/3 9:08:48 AM,18,Kitchen Sink,1.289,1.032,0.257
1/3 9:10:42 AM,66,Kitchen Sink,0.927,0.742,0.185
1/3 9:44:18 AM,12,Kitchen Sink,1.133,0.907,0.226
1/3 10:08:18 AM,18,Kitchen Sink,1.23,0.985,0.245
1/3 11:47:54 AM,48,Kitchen Sink,2.075,1.661,0.414
1/3 12:02:48 PM,6,Kitchen Sink,0.002,0.002,0.000
1/3 12:04:48 PM,78,Sink 2,1.616,1.294,0.322
1/3 12:42:12 PM,30,Sink 4,1.868,1.495,0.373
1/3 12:44:06 PM,48,Sink 2,0.828,0.663,0.165
1/3 12:46:06 PM,6,Kitchen Sink,0.492,0.394,0.098
1/3 12:48:00 PM,6,Kitchen Sink,0.067,0.054,0.013
1/3 12:55:06 PM,66,DW1,1.671,1.671,0.000
1/3 1:04:48 PM,54,DW1,1.463,1.463,0.000
1/3 1:14:36 PM,60,DW1,1.133,1.133,0.000
1/3 1:24:24 PM,90,DW1,1.249,1.249,0.000
1/3 2:17:18 PM,78,Sink 2,0.342,0.274,0.068
1/3 2:19:18 PM,6,Kitchen Sink,0.869,0.696,0.173
1/3 2:21:12 PM,6,Kitchen Sink,0.583,0.467,0.116
1/3 3:39:00 PM,30,Sink 3,0.29,0.232,0.058
1/3 3:39:36 PM,30,Kitchen Sink,0.869,0.696,0.173
1/3 4:53:42 PM,42,Kitchen Sink,1.498,1.199,0.299
1/3 4:55:42 PM,18,Kitchen Sink,1.966,1.574,0.392
1/3 4:57:36 PM,42,Sink 2,0.955,0.764,0.191
1/3 4:59:30 PM,12,Kitchen Sink,1.065,0.852,0.213
1/3 5:01:30 PM,36,Kitchen Sink,1.661,1.330,0.331
1/3 5:03:24 PM,6,Sink 2,1.157,0.926,0.231
1/3 5:10:30 PM,30,Kitchen Sink,2.11,1.689,0.421
1/3 5:12:24 PM,12,Kitchen Sink,2.165,1.733,0.432
1/3 5:14:24 PM,6,Kitchen Sink,1.144,0.916,0.228
1/3 5:16:18 PM,30,Sink 4,0.909,0.728,0.181
1/3 6:04:54 PM,96,Kitchen Sink,0.923,0.739,0.184
1/3 7:40:36 PM,54,Kitchen Sink,0.242,0.194,0.048
1/3 9:23:54 PM,540,Shower 1,2.028,1.623,0.405
1/3 9:55:18 PM,36,Kitchen Sink,0.774,0.620,0.154
