Time,Duration,Fixture,Combined,Hot,Cold
1/1 12:33:54 AM,96,Sink 2,0.935,0.748,0.187
1/1 12:35:48 AM,114,Kitchen Sink,0.051,0.041,0.010
1/1 12:37:48 AM,54,Sink 2,1.311,1.049,0.262
1/1 12:39:42 AM,18,Sink 4,0.628,0.502,0.126
1/1 6:51:00 AM,336,Shower 2,2.361,1.888,0.473
1/1 7:21:30 AM,1332,Shower 1,2.964,2.371,0.593
1/1 7:57:12 AM,6,Kitchen Sink,0.916,0.733,0.183
1/1 7:59:06 AM,18,Sink 2,1.665,1.332,0.333
1/1 8:24:00 AM,18,Kitchen Sink,2.433,1.946,0.487
1/1 8:26:12 AM,42,Kitchen Sink,1.225,0.980,0.245
1/1 8:46:00 AM,150,Bath 2,4.871,3.896,0.975
1/1 8:47:00 AM,18,Kitchen Sink,0.618,0.494,0.124
1/1 8:48:54 AM,12,Kitchen Sink,2.176,1.741,0.435
1/1 9:20:24 AM,6,Sink 3,1.836,1.469,0.367
1/1 9:35:54 AM,48,Sink 4,1.812,1.449,0.363
1/1 9:37:48 AM,42,Kitchen Sink,1.767,1.413,0.354
1/1 12:33:42 PM,30,Kitchen Sink,0.713,0.570,0.143
1/1 1:19:12 PM,120,DW1,1.345,1.345,0.000
1/1 1:29:00 PM,108,DW1,1.320,1.320,0.000
1/1 1:38:42 PM,84,DW1,0.984,0.984,0.000
1/1 1:48:30 PM,144,DW1,0.846,0.846,0.000
1/1 1:58:18 PM,96,DW1,1.555,1.555,0.000
1/1 2:08:06 PM,84,DW1,1.692,1.692,0.000
1/1 3:09:00 PM,42,Kitchen Sink,0.748,0.598,0.150
1/1 4:03:36 PM,6,Kitchen Sink,0.031,0.025,0.006
1/1 4:05:30 PM,6,Sink 3,1.188,0.950,0.238
1/1 4:07:24 PM,18,Kitchen Sink,1.477,1.181,0.296
1/1 4:09:24 PM,6,Sink 2,0.542,0.434,0.108
1/1 4:11:18 PM,42,Kitchen Sink,0.962,0.769,0.193
1/1 4:13:12 PM,78,Sink 2,0.747,0.597,0.150
1/1 4:58:12 PM,6,Kitchen Sink,0.442,0.354,0.088
1/1 5:00:12 PM,30,Sink 2,0.858,0.686,0.172
1/1 5:02:06 PM,6,Kitchen Sink,1.152,0.921,0.231
1/1 5:40:18 PM,12,Sink 2,0.557,0.446,0.111
1/1 5:42:18 PM,6,Kitchen Sink,0.183,0.146,0.037
1/1 5:44:12 PM,6,Kitchen Sink,0.086,0.069,0.017
1/1 5:46:06 PM,42,Kitchen Sink,1.169,0.935,0.234
